Date,High,Low,SPY Close
9/17/2015,202.8899994,199.2799988,181.6182861
9/18/2015,198.6799927,194.9600067,178.6504211
9/21/2015,197.6799927,195.2100067,179.5736237
9/22/2015,194.4600067,192.5599976,177.2427826
9/23/2015,194.6699982,192.9100037,176.9593964
9/24/2015,193.4499969,190.5599976,176.3195343
9/25/2015,195,191.8099976,176.2738953
9/28/2015,191.9100037,187.6399994,171.849884
9/29/2015,189.7400055,186.9299927,171.9504242
9/30/2015,191.8300018,189.4400024,175.1587524
10/1/2015,192.4900055,189.8200073,175.615799
10/2/2015,195.0299988,189.1199951,178.2391052
10/5/2015,198.7400055,196.3300018,181.4108429
10/6/2015,198.9799957,197,180.7893219
10/7/2015,199.8300018,197.4799957,182.2700195
10/8/2015,201.5500031,198.5899963,183.915329
10/9/2015,201.8999939,200.5800018,184.0249786
10/12/2015,201.7599945,200.9100037,184.1986542
10/13/2015,202.1600037,200.0500031,183.0378571
10/14/2015,200.8699951,198.9400024,182.1603394
10/15/2015,202.3600006,199.6399994,184.9573059
10/16/2015,203.2899933,201.9199982,185.7982483
10/19/2015,203.3699951,202.1300049,185.8896637
10/20/2015,203.8399963,202.5500031,185.6520233
10/21/2015,203.7899933,201.6499939,184.5002899
10/22/2015,205.5099945,201.8500061,187.617218
10/23/2015,207.9499969,206.3000031,189.6737823
10/26/2015,207.3699951,206.5599976,189.2076569
10/27/2015,207,205.7899933,188.8420258
10/28/2015,208.9799957,206.2100067,190.990036
10/29/2015,209.2700043,208.2100067,190.8803406
10/30/2015,209.4400024,207.7400055,190.0576935
11/2/2015,210.6199951,208.1699982,192.3062897
11/3/2015,211.6600037,209.6999969,192.8638153
11/4/2015,211.5,209.7200012,192.2788391
11/5/2015,210.9799957,209.0899963,192.0868835
11/6/2015,210.3200073,208.4600067,191.9863281
11/9/2015,209.4900055,206.9499969,190.1947937
11/10/2015,208.6000061,207.1900024,190.6335602
11/11/2015,208.9400024,207.6600037,189.8840637
11/12/2015,207.0599976,204.8200073,187.2332764
11/13/2015,204.6699982,202.4400024,185.1309814
11/16/2015,205.6900024,202.1799927,187.9462585
11/17/2015,207.0399933,204.8800049,187.8091431
11/18/2015,208.8999939,205.9900055,190.7889252
11/19/2015,209.0500031,208.1999969,190.6244202
11/20/2015,210.1199951,208.8600006,191.3190765
11/23/2015,209.9799957,208.5200043,191.0997314
11/24/2015,209.8300018,207.4100037,191.3556213
11/25/2015,209.7400055,209.0099945,191.3282471
11/27/2015,209.8000031,208.8600006,191.5475922
11/30/2015,209.8899994,208.5599976,190.7523499
12/1/2015,210.8200073,209.1100006,192.5713348
12/2/2015,211,208.2299957,190.6061249
12/3/2015,209.1499939,204.75,187.9371185
12/4/2015,209.9700012,205.6100006,191.6024323
12/7/2015,209.7299957,207.1999969,190.4416046
12/8/2015,208.2899933,205.7799988,189.1619263
12/9/2015,208.6799927,204.1799927,187.6903076
12/10/2015,207.4299927,205.1399994,188.1747589
12/11/2015,204.1399994,201.5099945,184.5277252
12/14/2015,203.0500031,199.9499969,185.4600372
12/15/2015,206.1100006,202.8699951,187.4070129
12/16/2015,208.3899994,204.8000031,190.1491394
12/17/2015,208.4799957,204.8399963,187.2515717
12/18/2015,202.9299927,199.8300018,183.9157104
12/21/2015,201.8800049,200.0899963,185.4328156
12/22/2015,203.8500061,201.5500031,187.1155243
12/23/2015,206.0700073,204.5800018,189.4326019
12/24/2015,206.3300018,205.4199982,189.1199799
12/28/2015,205.2599945,203.9400024,188.6878204
12/29/2015,207.7899933,206.4700012,190.7014923
12/30/2015,207.2100067,205.7599945,189.3498383
12/31/2015,205.8899994,203.8699951,187.455719
1/4/2016,201.0299988,198.5899963,184.8351746
1/5/2016,201.8999939,200.0500031,185.1477814
1/6/2016,200.0599976,197.6000061,182.8122864
1/7/2016,197.4400024,193.5899963,178.4263306
1/8/2016,195.8500061,191.5800018,176.4678497
1/11/2016,193.4100037,189.8200073,176.6425323
1/12/2016,194.5500031,191.1399994,178.0677643
1/13/2016,194.8600006,188.3800049,173.6266174
1/14/2016,193.2599945,187.6600037,176.4770203
1/15/2016,188.7599945,185.5200043,172.6887512
1/19/2016,190.1100006,186.1999969,172.9186401
1/20/2016,187.5,181.0200043,170.7026672
1/21/2016,188.8699951,184.6399994,171.6589508
1/22/2016,190.7599945,188.8800049,175.1805573
1/25/2016,190.1499939,187.4100037,172.5324097
1/26/2016,190.5299988,188.0200043,174.886322
1/27/2016,191.5599976,187.0599976,172.9829712
1/28/2016,190.1999969,187.1600037,173.884079
1/29/2016,193.8800049,189.8800049,178.1229248
2/1/2016,194.5800018,191.8399963,178.0585632
2/2/2016,191.9700012,189.5399933,174.8495178
2/3/2016,191.7799988,187.1000061,175.8977814
2/4/2016,192.75,189.9600067,176.1735992
2/5/2016,191.6699982,187.1999969,172.8174896
2/8/2016,186.1199951,182.8000031,170.4911804
2/9/2016,186.9400024,183.1999969,170.5003967
2/10/2016,188.3399963,185.1199951,170.3532562
2/11/2016,184.1000061,181.0899963,168.1373138
2/12/2016,186.6499939,183.9600067,171.603775
2/16/2016,189.8099976,187.6300049,174.5001221
2/17/2016,193.3200073,191.0099945,177.3505402
2/18/2016,193.2700043,191.7200012,176.6241455
2/19/2016,192.1799927,190.4499969,176.5413971
2/22/2016,194.9499969,193.7899933,179.0975952
2/23/2016,194.3200073,192.1799927,176.8356628
2/24/2016,193.5299988,189.3200073,177.6447906
2/25/2016,195.5500031,192.8300018,179.796402
2/26/2016,196.6799927,194.8999939,179.3825989
2/29/2016,196.2299957,193.3300018,177.9757996
3/1/2016,198.2100067,194.4499969,182.1594543
3/2/2016,199.0599976,197.25,182.977829
3/3/2016,199.8000031,198.1100006,183.6950226
3/4/2016,201.3500061,199.0299988,184.2926941
3/7/2016,201.0700073,199.25,184.4398193
3/8/2016,199.9199982,198.2100067,182.4261475
3/9/2016,199.7899933,198.4299927,183.3272095
3/10/2016,201.0700073,197.3800049,183.4743195
3/11/2016,202.8099976,199.5200043,186.4350891
3/14/2016,203.0399933,201.7700043,186.1960297
3/15/2016,202.5299988,201.0500031,185.8925934
3/16/2016,203.8200073,201.5500031,186.9683533
3/17/2016,205.2299957,202.7700043,188.1545258
3/18/2016,204.7799988,203.8000031,188.8939056
3/21/2016,204.9400024,203.8000031,189.161911
3/22/2016,205.2299957,203.5700073,189.0602264
3/23/2016,204.3300018,203.0099945,187.8125305
3/24/2016,203.1600037,201.7400055,187.7293854
3/28/2016,203.8600006,202.7100067,187.840271
3/29/2016,205.25,202.3999939,189.5778046
3/30/2016,206.8699951,205.5899963,190.4096222
3/31/2016,206.4100037,205.3300018,189.9475098
4/1/2016,207.1399994,203.9799957,191.2414398
4/4/2016,207.0700073,205.8899994,190.6222076
4/5/2016,206.2599945,203.8899994,188.718277
4/6/2016,206.4900055,203.9799957,190.7793121
4/7/2016,205.5599976,203.0899963,188.4965057
4/8/2016,205.8500061,203.8699951,189.0047913
4/11/2016,206.0700073,203.9100037,188.5611725
4/12/2016,206.25,203.6999969,190.3171997
4/13/2016,208.1000061,206.8399963,192.2396393
4/14/2016,208.6000061,207.6000061,192.2488556
4/15/2016,208.1699982,207.3999939,192.0362396
4/18/2016,209.2799988,207,193.3856506
4/19/2016,210.1999969,208.9400024,193.9956512
4/20/2016,210.9199982,209.3899994,194.1804962
4/21/2016,210.25,208.6499939,193.1361084
4/22/2016,209.2899933,207.9100037,193.1361084
4/25/2016,208.6600037,207.5399933,192.8033752
4/26/2016,209.5200043,208.3600006,193.0899048
4/27/2016,209.8099976,208.0500031,193.4873047
4/28/2016,209.7599945,206.9600067,191.7312317
4/29/2016,207.1300049,205.0299988,190.6961517
5/2/2016,208.1799927,206.4100037,192.2118835
5/3/2016,206.8000031,205.2799988,190.5390167
5/4/2016,205.8500061,204.4199982,189.476181
5/5/2016,205.9799957,204.4700012,189.439209
5/6/2016,205.7700043,203.8800049,190.13237
5/9/2016,206.3999939,205.3600006,190.289505
5/10/2016,208.4700012,206.6399994,192.6555023
5/11/2016,208.5399933,206.5,190.853241
5/12/2016,207.4900055,205.3699951,190.9086914
5/13/2016,206.8600006,204.3800049,189.2450867
5/16/2016,207.3399963,204.8899994,191.1120453
5/17/2016,206.8000031,204.2299957,189.3283081
5/18/2016,206.3000031,203.6300049,189.383728
5/19/2016,204.5399933,202.7799988,188.7275085
5/20/2016,206.1000061,204.8600006,189.9197998
5/23/2016,205.8399963,204.9900055,189.661026
5/24/2016,208.2400055,206.1399994,192.1194611
5/25/2016,209.7700043,207.8699951,193.4226074
5/26/2016,209.7100067,208.9700012,193.4780579
5/27/2016,210.25,209.4700012,194.3098907
5/31/2016,210.6900024,209.1799927,193.9402313
6/1/2016,210.4799957,208.8899994,194.3376312
6/2/2016,210.9299927,209.2400055,194.9291382
6/3/2016,210.6900024,208.8600006,194.3468323
6/6/2016,211.7700043,210.5099945,195.3358002
6/7/2016,212.3399963,211.5,195.6407471
6/8/2016,212.5200043,211.6900024,196.2785034
6/9/2016,212.2200012,211.1900024,196.0104523
6/10/2016,210.8600006,209.4299927,194.152771
6/13/2016,210.3699951,208.3500061,192.6555023
6/14/2016,208.7400055,206.9199982,192.2765503
6/15/2016,209.3600006,207.5299988,192.0085297
6/16/2016,208.5700073,205.5899963,192.5815582
6/17/2016,207.1999969,205.75,191.8643646
6/20/2016,209.6100006,207.75,193.0999298
6/21/2016,208.9199982,207.7799988,193.6481323
6/22/2016,209.5,207.9299927,193.3322296
6/23/2016,210.8699951,209.2700043,195.8499298
6/24/2016,210.8500061,202.7200012,188.8170929
6/27/2016,201.6000061,198.6499939,185.4354248
6/28/2016,203.2299957,201.1199951,188.7799683
6/29/2016,206.9299927,204.7200012,191.9944305
6/30/2016,209.5399933,206.5599976,194.6143036
7/1/2016,210.4900055,209.2899933,195.0230865
7/5/2016,209.0800018,207.7100067,193.620224
7/6/2016,209.8000031,207.0599976,194.7815094
7/7/2016,210.6499939,208.6300049,194.6607666
7/8/2016,212.9400024,210.7799988,197.5593414
7/11/2016,214.0700073,212.9499969,198.256134
7/12/2016,215.3000031,213.4299927,199.6961212
7/13/2016,215.4499969,214.3500061,199.6682434
7/14/2016,216.6699982,215.6600037,200.7831116
7/15/2016,217.0099945,215.3099976,200.5136871
7/18/2016,216.6000061,215.6699982,201.0525055
7/19/2016,216.2299957,215.6300049,200.8480988
7/20/2016,217.3699951,216.1900024,201.6842499
7/21/2016,217.2200012,215.75,200.9224701
7/22/2016,217.3000031,216.1000061,201.8236389
7/25/2016,217.0599976,215.9700012,201.2754822
7/26/2016,217.1699982,215.7599945,201.3683472
7/27/2016,217.2700043,215.6199951,201.1547089
7/28/2016,217.1100006,215.75,201.3869629
7/29/2016,217.5399933,216.1300049,201.7121124
8/1/2016,217.6499939,216.4100037,201.5449219
8/2/2016,216.8300018,214.5700073,200.2535095
8/3/2016,216.25,215.1300049,200.8388367
8/4/2016,216.7799988,214.25,201.0525055
8/5/2016,218.2299957,216.4100037,202.6968994
8/8/2016,218.5200043,217.7400055,202.5761108
8/9/2016,218.7599945,217.8000031,202.6968994
8/10/2016,218.3999939,217.2299957,202.1952362
8/11/2016,218.9400024,217.9499969,203.1335602
8/12/2016,218.7100067,217.9900055,202.9570313
8/15/2016,219.5,218.8800049,203.5423279
8/16/2016,218.6799927,217.9600067,202.4925385
8/17/2016,218.5299988,217.0200043,202.8734131
8/18/2016,218.8999939,218.2100067,203.3286591
8/19/2016,218.75,217.7400055,203.0313416
8/22/2016,218.8000031,217.8300018,203.0220642
8/23/2016,219.6000061,218.8999939,203.4308472
8/24/2016,218.9100037,217.3600006,202.3903503
8/25/2016,218.1900024,217.2200012,202.2509613
8/26/2016,219.1199951,216.25,201.8700714
8/29/2016,218.6699982,217.3999939,202.8641052
8/30/2016,218.5899963,217.3500061,202.5296783
8/31/2016,217.75,216.4700012,201.9536896
9/1/2016,217.7299957,216.0299988,201.9629822
9/2/2016,218.8699951,217.6999969,202.8734131
9/6/2016,219.1199951,217.8600006,203.4865875
9/7/2016,219.2200012,218.3000031,203.4680023
9/8/2016,218.9400024,218.1499939,203.0034943
9/9/2016,217.0299988,213.25,198.1446381
9/12/2016,216.8099976,212.3099976,200.9874878
9/13/2016,215.1499939,212.5,198.0981598
9/14/2016,214.6999969,212.5,198.0238342
9/15/2016,215.7299957,212.75,200.0027161
9/16/2016,213.6900024,212.5700073,199.2295685
9/19/2016,214.8800049,213.0299988,199.2668915
